site_id,name,infrastructure_type,state,latitude,longitude,status,capacity_mw,operator,parent,ultimate_owner,owner_type,ownership_country,tenants,energy_source,planning_pathway,accelerated_via,resource_conditions,public_notice,approval_body,announcement_date,approval_date,announced_investment_aud,governance_flags,community_concern,sovereignty_register,campus_group,confidence,classified_by,source_url,notes,last_edited
3be18df0-b775-8171-81ee-fb2e3c0ff8ec,[REJECTED] Data centre DA — Blacktown City Council (PAN-659264),,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,0.35,Agent,,"TRIAGE (agent, 2026-08-16): REJECT recommended — Alterations to existing industrial premises, Blacktown (lot reference only). No data-centre evidence found. || Discovered by the pipeline from the NSW ePlanning OnlineDA API (industrial + cost). 100/1326944 · Blacktown City Council · Development Application · status: Under Assessment. Types: Industrial development; Alterations or additions to an existing building or structure; Earthworks, retaining walls and structural support; Supporting Development · $29.3M. Lodged 2026-08-03 · no exhibition window recorded. Coordinates (paste to publish): -33.887385366, 150.965668304. REVIEW: confirm it is a data centre, fill Infrastructure Type + coordinates, remove [PROPOSED].",2026-08-16T13:34:00.000Z
3be18df0-b775-81e4-baaa-fe8b5b963790,[REJECTED] Data centre DA — KEMPS CREEK (PAN-472107),,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,0.35,Agent,,"TRIAGE (agent, 2026-08-16): REJECT leaning — Aldington Rd Kemps Creek is the Mamre Road Precinct warehouse belt (Frasers Edge Estate, Fife/Stockland 200 Aldington estate). These DAs read as warehouse lots. NOTE the precinct DOES have a real data-centre SSD — 90 Aldington Road (Stockland/Fife, 245 MW) — added as its own proposal row. || Discovered by the pipeline from the NSW ePlanning OnlineDA API (industrial + cost). 290-308 ALDINGTON ROAD KEMPS CREEK 2178 · Penrith City Council · Development Application · status: Determined. Types: Warehouse or distribution centre; Erection of a new structure · $23.8M. Lodged 2024-09-30 · exhibited 2024-10-21 → 2024-11-03. Coordinates (paste to publish): -33.856312035, 150.798706731. REVIEW: confirm it is a data centre, fill Infrastructure Type + coordinates, remove [PROPOSED].",2026-08-16T13:34:00.000Z
3be18df0-b775-81d8-80c0-cc4f4470ba5e,[REJECTED] Data centre DA — KEMPS CREEK (PAN-475021),,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,0.35,Agent,,"TRIAGE (agent, 2026-08-16): REJECT leaning — Aldington Rd Kemps Creek is the Mamre Road Precinct warehouse belt (Frasers Edge Estate, Fife/Stockland 200 Aldington estate). These DAs read as warehouse lots. NOTE the precinct DOES have a real data-centre SSD — 90 Aldington Road (Stockland/Fife, 245 MW) — added as its own proposal row. || Discovered by the pipeline from the NSW ePlanning OnlineDA API (industrial + cost). 285 ALDINGTON ROAD KEMPS CREEK 2178 · Penrith City Council · Development Application · status: Under Assessment. Types: Warehouse or distribution centre; Erection of a new structure · $87.1M. Lodged 2024-09-30 · exhibited 2024-10-21 → 2024-11-03. Coordinates (paste to publish): -33.855759946, 150.792029285. REVIEW: confirm it is a data centre, fill Infrastructure Type + coordinates, remove [PROPOSED].",2026-08-16T13:34:00.000Z
3be18df0-b775-8156-b2a4-ff2729df5610,[REJECTED] Data centre DA — KEMPS CREEK (PAN-491965),,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,0.35,Agent,,"TRIAGE (agent, 2026-08-16): REJECT leaning — Aldington Rd Kemps Creek is the Mamre Road Precinct warehouse belt (Frasers Edge Estate, Fife/Stockland 200 Aldington estate). These DAs read as warehouse lots. NOTE the precinct DOES have a real data-centre SSD — 90 Aldington Road (Stockland/Fife, 245 MW) — added as its own proposal row. || Discovered by the pipeline from the NSW ePlanning OnlineDA API (industrial + cost). 235-251 ALDINGTON ROAD KEMPS CREEK 2178 · Penrith City Council · Development Application · status: Under Assessment. Types: Warehouse or distribution centre; Erection of a new structure · $48.9M. Lodged 2024-12-02 · exhibited 2025-01-20 → 2025-02-02. Coordinates (paste to publish): -33.851167701, 150.792572039. REVIEW: confirm it is a data centre, fill Infrastructure Type + coordinates, remove [PROPOSED].",2026-08-16T13:34:00.000Z
3be18df0-b775-81b8-a53c-c49ed4feb6a7,[REJECTED] Data centre DA — KEMPS CREEK (PAN-544912),,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,0.35,Agent,,"TRIAGE (agent, 2026-08-16): REJECT leaning — Aldington Rd Kemps Creek is the Mamre Road Precinct warehouse belt (Frasers Edge Estate, Fife/Stockland 200 Aldington estate). These DAs read as warehouse lots. NOTE the precinct DOES have a real data-centre SSD — 90 Aldington Road (Stockland/Fife, 245 MW) — added as its own proposal row. || Discovered by the pipeline from the NSW ePlanning OnlineDA API (industrial + cost). 1-23 ALDINGTON ROAD KEMPS CREEK 2178 · Penrith City Council · Development Application · status: Under Assessment. Types: Warehouse or distribution centre; Erection of a new structure · $54.3M. Lodged 2025-07-10 · exhibited 2025-08-04 → 2025-08-31. Coordinates (paste to publish): -33.835583329, 150.793378789. REVIEW: confirm it is a data centre, fill Infrastructure Type + coordinates, remove [PROPOSED].",2026-08-16T13:34:00.000Z
3be18df0-b775-810f-ad8e-f9be006d91b7,[REJECTED] Data centre DA — KEMPS CREEK (PAN-586565),,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,0.35,Agent,,"TRIAGE (agent, 2026-08-16): REJECT leaning — Aldington Rd Kemps Creek is the Mamre Road Precinct warehouse belt (Frasers Edge Estate, Fife/Stockland 200 Aldington estate). These DAs read as warehouse lots. NOTE the precinct DOES have a real data-centre SSD — 90 Aldington Road (Stockland/Fife, 245 MW) — added as its own proposal row. || Discovered by the pipeline from the NSW ePlanning OnlineDA API (industrial + cost). 244-270 ALDINGTON ROAD KEMPS CREEK 2178 · Penrith City Council · Development Application · status: Under Assessment. Types: Warehouse or distribution centre; Erection of a new structure · $57.8M. Lodged 2025-11-07 · exhibited 2025-12-01 → 2025-12-14. Coordinates (paste to publish): -33.852727542, 150.799760856. REVIEW: confirm it is a data centre, fill Infrastructure Type + coordinates, remove [PROPOSED].",2026-08-16T13:34:00.000Z
3be18df0-b775-81d0-9b76-e703525575fd,[REJECTED] Data centre DA — KEMPS CREEK (PAN-638976),,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,0.35,Agent,,"TRIAGE (agent, 2026-08-16): REJECT leaning — Aldington Rd Kemps Creek is the Mamre Road Precinct warehouse belt (Frasers Edge Estate, Fife/Stockland 200 Aldington estate). These DAs read as warehouse lots. NOTE the precinct DOES have a real data-centre SSD — 90 Aldington Road (Stockland/Fife, 245 MW) — added as its own proposal row. || Discovered by the pipeline from the NSW ePlanning OnlineDA API (industrial + cost). 106-228 ALDINGTON ROAD KEMPS CREEK 2178 · Penrith City Council · Development Application · status: Under Assessment. Types: Warehouse or distribution centre; Erection of a new structure · $48.3M. Lodged 2026-05-22 · exhibited 2026-06-15 → 2026-06-28. Coordinates (paste to publish): -33.845104557, 150.801679569. REVIEW: confirm it is a data centre, fill Infrastructure Type + coordinates, remove [PROPOSED].",2026-08-16T13:34:00.000Z
3be18df0-b775-8178-9e1a-d9893713ecc1,[REJECTED] Data centre DA — KEMPS CREEK (PAN-643502),,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,0.35,Agent,,"TRIAGE (agent, 2026-08-16): REJECT leaning — Aldington Rd Kemps Creek is the Mamre Road Precinct warehouse belt (Frasers Edge Estate, Fife/Stockland 200 Aldington estate). These DAs read as warehouse lots. NOTE the precinct DOES have a real data-centre SSD — 90 Aldington Road (Stockland/Fife, 245 MW) — added as its own proposal row. || Discovered by the pipeline from the NSW ePlanning OnlineDA API (industrial + cost). 269 ALDINGTON ROAD KEMPS CREEK 2178 · Penrith City Council · Development Application · status: Additional Information Requested. Types: Demolition; Subdivision; Warehouse or distribution centre; Erection of a new structure; General industry; Hours of operation and trading · $101.2M. Lodged 2026-06-03 · exhibited 2026-06-23 → 2026-07-05. Coordinates (paste to publish): -33.854113226, 150.792291466. REVIEW: confirm it is a data centre, fill Infrastructure Type + coordinates, remove [PROPOSED].",2026-08-16T13:34:00.000Z
3be18df0-b775-8190-a235-f1fffbec9379,[REJECTED] Data centre DA — LANE COVE WEST (PAN-102441),,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,0.35,Agent,,"TRIAGE (agent, 2026-08-16): REJECT recommended — 48-unit multi-warehouse complex at 14-16 Orion Rd (Lane Cove West Business Park). No data-centre component; the AirTrunk hyperscale facility in this precinct is a different site. || Discovered by the pipeline from the NSW ePlanning OnlineDA API (industrial + cost). 14-16 ORION ROAD LANE COVE WEST 2066 · Lane Cove Municipal Council · Development Application · status: Determined. Types: Industrial development · $23.6M. Lodged 2021-05-31 · exhibited 2021-06-01 → 2021-06-16. Coordinates (paste to publish): -33.807714678, 151.148373343. REVIEW: confirm it is a data centre, fill Infrastructure Type + coordinates, remove [PROPOSED].",2026-08-16T13:34:00.000Z
3be18df0-b775-8157-a4f1-e9d2be379ebb,[REJECTED] Data centre DA — MARSDEN PARK (PAN-633348),,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,0.35,Agent,,"TRIAGE (agent, 2026-08-16): REJECT recommended — Sydney Business Park warehouse estate, Astoria St Marsden Park. No data-centre evidence found. || Discovered by the pipeline from the NSW ePlanning OnlineDA API (industrial + cost). ASTORIA STREET MARSDEN PARK 2765 · Blacktown City Council · Modification Application · status: Determined. Types: Industrial development; Warehouse or distribution centre; Erection of a new structure; Light industry · $30.1M. Lodged 2026-04-29 · no exhibition window recorded. Coordinates (paste to publish): -33.717434328, 150.82770103. REVIEW: confirm it is a data centre, fill Infrastructure Type + coordinates, remove [PROPOSED].",2026-08-16T13:34:00.000Z
